CARTE;TOTAL;ALIMENTAIRE;LIQUIDES;AUTO;HYGIENE;BIJOUX;BRICOLAGE;CULTURE;MAISON;MULTIMEDIA;SPORT;VETEMENT;BEBE;ELECTROMENAGER;JARDIN
9000227;4363;2254;575;48;480;0;0;288;144;144;96;240;0;96;0
9000233;2987;1614;412;0;343;0;0;206;103;0;69;172;0;69;0
9000236;1443;737;188;0;157;31;0;94;47;0;31;78;0;31;47
9000238;1650;902;230;0;192;0;38;0;58;58;38;96;0;38;0
9000240;4828;2440;623;52;519;0;104;311;156;0;104;260;0;104;156
9000244;3743;2000;511;0;426;0;0;255;128;0;0;213;125;85;0
9000252;2229;1040;265;0;358;0;0;133;66;66;44;111;101;44;0
9000256;3083;1525;389;0;325;0;65;195;97;97;65;162;0;65;97
9000257;6033;3297;842;70;702;0;0;421;210;0;140;351;0;0;0
9000259;9580;5290;1351;0;1126;0;0;675;338;350;225;0;0;225;0
9000260;5645;3386;865;72;97;0;0;432;216;0;0;360;0;0;216
9000262;7602;3490;891;15;743;149;0;446;223;223;0;371;451;149;453
9000264;4648;2050;523;0;436;854;0;262;131;0;87;218;0;87;0
9000267;6960;3595;918;76;765;153;0;459;229;229;0;382;0;153;0
9000268;5969;3171;810;67;675;0;135;405;202;202;135;32;0;135;0
9000275;1290;635;162;0;135;0;27;81;41;41;27;68;8;27;41
9000277;2796;1511;386;0;321;0;0;193;0;96;64;161;0;64;0
9000289;4304;2199;561;0;468;0;94;281;140;140;94;234;0;94;0
9000295;3959;2050;523;44;436;34;87;262;131;0;87;218;0;87;0
9000410;2410;1203;307;26;256;29;51;154;77;77;51;128;0;51;0
9000416;8528;4594;1173;98;977;195;195;586;293;13;195;11;0;195;0
9000510;5715;2920;745;62;621;0;0;373;186;186;124;311;0;0;186
9000541;2622;1417;362;30;301;0;0;181;0;90;0;151;0;0;90
9000673;5063;2615;668;56;556;0;111;334;167;167;111;278;0;0;0
9000700;15404;7765;1983;12;1652;0;2;991;496;0;0;0;0;0;2504
9000711;3388;1617;606;51;154;0;0;303;152;0;101;253;0;0;152
9000767;8872;4816;889;74;741;0;0;445;222;1250;0;65;0;148;222
9000789;6673;3089;789;66;657;131;0;394;197;0;131;329;561;131;197
9000856;6486;3370;861;0;717;0;32;430;215;0;143;359;0;143;215
9000888;5572;3155;806;67;671;0;0;0;201;201;0;336;0;134;0
9004023;7386;3815;974;81;812;0;0;487;244;0;162;406;0;162;244
9004045;668;242;116;10;97;19;0;58;29;29;0;48;0;19;0
9004048;7971;4143;1036;0;863;0;0;518;259;259;173;432;30;0;259
9005056;8598;4339;1108;92;923;185;185;554;277;277;185;13;0;185;277
